<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,15,20130617,194500,130080.0000000,130130.0000000,129920.0000000,129940.0000000,7542
SPFB.RTS,15,20130617,200000,129940.0000000,130060.0000000,129890.0000000,130020.0000000,4417
SPFB.RTS,15,20130617,201500,130030.0000000,130080.0000000,129870.0000000,129870.0000000,4112
SPFB.RTS,15,20130617,203000,129870.0000000,130000.0000000,129830.0000000,129910.0000000,4449
SPFB.RTS,15,20130617,204500,129900.0000000,130030.0000000,129890.0000000,130000.0000000,3918
SPFB.RTS,15,20130617,210000,130000.0000000,130080.0000000,129940.0000000,130080.0000000,3764
SPFB.RTS,15,20130617,211500,130080.0000000,130080.0000000,129920.0000000,129980.0000000,3289
SPFB.RTS,15,20130617,213000,129970.0000000,130120.0000000,129910.0000000,130040.0000000,8361
SPFB.RTS,15,20130617,214500,130040.0000000,130290.0000000,130020.0000000,130150.0000000,10257
SPFB.RTS,15,20130617,220000,130160.0000000,130490.0000000,130130.0000000,130350.0000000,12002
SPFB.RTS,15,20130617,221500,130360.0000000,130360.0000000,129630.0000000,129670.0000000,21328
SPFB.RTS,15,20130617,223000,129670.0000000,129750.0000000,129120.0000000,129300.0000000,40270
SPFB.RTS,15,20130617,224500,129300.0000000,129430.0000000,129050.0000000,129130.0000000,18359
SPFB.RTS,15,20130617,230000,129130.0000000,129170.0000000,128850.0000000,128930.0000000,33425
SPFB.RTS,15,20130617,231500,128910.0000000,129130.0000000,128820.0000000,128950.0000000,21660
SPFB.RTS,15,20130617,233000,128960.0000000,129230.0000000,128910.0000000,129200.0000000,12334
SPFB.RTS,15,20130617,234500,129200.0000000,129570.0000000,129160.0000000,129470.0000000,20104
SPFB.RTS,15,20130618,000000,129470.0000000,129770.0000000,129450.0000000,129770.0000000,10363
SPFB.RTS,15,20130618,101500,129780.0000000,130040.0000000,129140.0000000,129430.0000000,41327
SPFB.RTS,15,20130618,103000,129440.0000000,129490.0000000,129270.0000000,129340.0000000,15394
SPFB.RTS,15,20130618,104500,129340.0000000,129370.0000000,129050.0000000,129160.0000000,22939
SPFB.RTS,15,20130618,110000,129160.0000000,129320.0000000,129070.0000000,129290.0000000,13833
SPFB.RTS,15,20130618,111500,129290.0000000,129400.0000000,129140.0000000,129310.0000000,21921
SPFB.RTS,15,20130618,113000,129300.0000000,129760.0000000,129280.0000000,129580.0000000,33336
SPFB.RTS,15,20130618,114500,129580.0000000,130690.0000000,129520.0000000,130510.0000000,68380
SPFB.RTS,15,20130618,120000,130500.0000000,131230.0000000,130400.0000000,130930.0000000,60849
SPFB.RTS,15,20130618,121500,130930.0000000,131010.0000000,130230.0000000,130320.0000000,43395
SPFB.RTS,15,20130618,123000,130310.0000000,130670.0000000,130270.0000000,130420.0000000,19971
SPFB.RTS,15,20130618,124500,130420.0000000,130570.0000000,130340.0000000,130410.0000000,15682
SPFB.RTS,15,20130618,130000,130400.0000000,130620.0000000,130240.0000000,130350.0000000,19984
SPFB.RTS,15,20130618,131500,130350.0000000,130830.0000000,130320.0000000,130710.0000000,27450
SPFB.RTS,15,20130618,133000,130720.0000000,130840.0000000,130380.0000000,130480.0000000,21273
SPFB.RTS,15,20130618,134500,130490.0000000,130570.0000000,129850.0000000,129960.0000000,40047
SPFB.RTS,15,20130618,140000,129960.0000000,130320.0000000,129960.0000000,130060.0000000,16835
SPFB.RTS,15,20130618,141500,130060.0000000,130210.0000000,130000.0000000,130130.0000000,10343
SPFB.RTS,15,20130618,143000,130130.0000000,130270.0000000,129990.0000000,130190.0000000,11061
SPFB.RTS,15,20130618,144500,130170.0000000,130190.0000000,129650.0000000,129820.0000000,19433
SPFB.RTS,15,20130618,150000,129830.0000000,130230.0000000,129700.0000000,130170.0000000,18733
SPFB.RTS,15,20130618,151500,130160.0000000,130330.0000000,129910.0000000,130310.0000000,22771
SPFB.RTS,15,20130618,153000,130320.0000000,131190.0000000,130320.0000000,130800.0000000,65703
SPFB.RTS,15,20130618,154500,130820.0000000,130890.0000000,130520.0000000,130740.0000000,20074
SPFB.RTS,15,20130618,160000,130720.0000000,131030.0000000,130700.0000000,130770.0000000,19533
SPFB.RTS,15,20130618,161500,130780.0000000,130850.0000000,130550.0000000,130660.0000000,18050
SPFB.RTS,15,20130618,163000,130660.0000000,131050.0000000,130610.0000000,130840.0000000,15982
SPFB.RTS,15,20130618,164500,130850.0000000,131120.0000000,130530.0000000,130560.0000000,44145
SPFB.RTS,15,20130618,170000,130550.0000000,130550.0000000,130150.0000000,130360.0000000,39672
SPFB.RTS,15,20130618,171500,130340.0000000,130580.0000000,130240.0000000,130370.0000000,23806
SPFB.RTS,15,20130618,173000,130390.0000000,130440.0000000,130150.0000000,130320.0000000,18299
SPFB.RTS,15,20130618,174500,130330.0000000,130450.0000000,129930.0000000,130070.0000000,43576
SPFB.RTS,15,20130618,180000,130090.0000000,130560.0000000,129920.0000000,130190.0000000,38268
SPFB.RTS,15,20130618,181500,130190.0000000,130280.0000000,129910.0000000,130040.0000000,29210
SPFB.RTS,15,20130618,183000,130040.0000000,130140.0000000,129800.0000000,129900.0000000,29851
SPFB.RTS,15,20130618,184500,129900.0000000,130450.0000000,129850.0000000,130050.0000000,34801
SPFB.RTS,15,20130618,191500,129990.0000000,130230.0000000,129940.0000000,130100.0000000,10842
SPFB.RTS,15,20130618,193000,130090.0000000,130140.0000000,129660.0000000,129970.0000000,19561
SPFB.RTS,15,20130618,194500,129980.0000000,130370.0000000,129910.0000000,130000.0000000,17548
SPFB.RTS,15,20130618,200000,130000.0000000,130030.0000000,129700.0000000,129860.0000000,12664
SPFB.RTS,15,20130618,201500,129860.0000000,130200.0000000,129800.0000000,130090.0000000,11107
SPFB.RTS,15,20130618,203000,130110.0000000,130300.0000000,130010.0000000,130280.0000000,9153
SPFB.RTS,15,20130618,204500,130260.0000000,130530.0000000,130230.0000000,130480.0000000,11733
SPFB.RTS,15,20130618,210000,130470.0000000,130730.0000000,130270.0000000,130610.0000000,13340
SPFB.RTS,15,20130618,211500,130620.0000000,130680.0000000,130350.0000000,130390.0000000,8452
SPFB.RTS,15,20130618,213000,130400.0000000,130480.0000000,130290.0000000,130310.0000000,5560
