<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,1,20130715,100100,133850.0000000,134400.0000000,133850.0000000,134400.0000000,10164
SPFB.RTS,1,20130715,100200,134390.0000000,134810.0000000,134320.0000000,134540.0000000,13982
SPFB.RTS,1,20130715,100300,134540.0000000,134680.0000000,134510.0000000,134660.0000000,2711
SPFB.RTS,1,20130715,100400,134670.0000000,134730.0000000,134580.0000000,134590.0000000,4395
SPFB.RTS,1,20130715,100500,134580.0000000,134740.0000000,134560.0000000,134730.0000000,3938
SPFB.RTS,1,20130715,100600,134740.0000000,134990.0000000,134730.0000000,134850.0000000,11103
SPFB.RTS,1,20130715,100700,134850.0000000,134900.0000000,134760.0000000,134840.0000000,3430
SPFB.RTS,1,20130715,100800,134860.0000000,135220.0000000,134850.0000000,135140.0000000,9561
SPFB.RTS,1,20130715,100900,135140.0000000,135170.0000000,135040.0000000,135050.0000000,2936
SPFB.RTS,1,20130715,101000,135060.0000000,135060.0000000,134970.0000000,135060.0000000,4429
SPFB.RTS,1,20130715,101100,135060.0000000,135100.0000000,134940.0000000,134940.0000000,3922
SPFB.RTS,1,20130715,101200,134950.0000000,135000.0000000,134940.0000000,134960.0000000,1325
SPFB.RTS,1,20130715,101300,134960.0000000,134980.0000000,134830.0000000,134890.0000000,2991
SPFB.RTS,1,20130715,101400,134890.0000000,135050.0000000,134870.0000000,135030.0000000,2568
SPFB.RTS,1,20130715,101500,135040.0000000,135120.0000000,135030.0000000,135090.0000000,2259
SPFB.RTS,1,20130715,101600,135100.0000000,135200.0000000,135090.0000000,135140.0000000,3151
SPFB.RTS,1,20130715,101700,135140.0000000,135250.0000000,135020.0000000,135100.0000000,4321
SPFB.RTS,1,20130715,101800,135090.0000000,135100.0000000,134980.0000000,135030.0000000,2571
SPFB.RTS,1,20130715,101900,135020.0000000,135070.0000000,134960.0000000,134970.0000000,1497
SPFB.RTS,1,20130715,102000,134960.0000000,134990.0000000,134870.0000000,134870.0000000,3450
SPFB.RTS,1,20130715,102100,134870.0000000,134990.0000000,134870.0000000,134940.0000000,1365
SPFB.RTS,1,20130715,102200,134930.0000000,134990.0000000,134920.0000000,134950.0000000,667
SPFB.RTS,1,20130715,102300,134950.0000000,134960.0000000,134780.0000000,134850.0000000,5379
SPFB.RTS,1,20130715,102400,134850.0000000,134930.0000000,134770.0000000,134770.0000000,1932
SPFB.RTS,1,20130715,102500,134770.0000000,134850.0000000,134700.0000000,134710.0000000,3136
SPFB.RTS,1,20130715,102600,134700.0000000,134770.0000000,134650.0000000,134750.0000000,2494
SPFB.RTS,1,20130715,102700,134770.0000000,134790.0000000,134700.0000000,134710.0000000,1182
SPFB.RTS,1,20130715,102800,134710.0000000,134800.0000000,134690.0000000,134790.0000000,957
SPFB.RTS,1,20130715,102900,134790.0000000,134790.0000000,134730.0000000,134760.0000000,746
SPFB.RTS,1,20130715,103000,134760.0000000,134880.0000000,134750.0000000,134830.0000000,1815
SPFB.RTS,1,20130715,103100,134820.0000000,134830.0000000,134750.0000000,134780.0000000,913
SPFB.RTS,1,20130715,103200,134770.0000000,134810.0000000,134680.0000000,134810.0000000,3448
SPFB.RTS,1,20130715,103300,134790.0000000,134820.0000000,134730.0000000,134780.0000000,1034
SPFB.RTS,1,20130715,103400,134790.0000000,134860.0000000,134770.0000000,134780.0000000,1257
SPFB.RTS,1,20130715,103500,134780.0000000,134800.0000000,134760.0000000,134790.0000000,428
SPFB.RTS,1,20130715,103600,134790.0000000,134900.0000000,134760.0000000,134890.0000000,1938
SPFB.RTS,1,20130715,103700,134900.0000000,134940.0000000,134850.0000000,134900.0000000,2009
