<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS;1;20130711;112400;129490.0000000;129510.0000000;129430.0000000;129510.0000000;1290
SPFB.RTS;1;20130711;112500;129490.0000000;129500.0000000;129400.0000000;129440.0000000;2322
SPFB.RTS;1;20130711;112600;129440.0000000;129500.0000000;129370.0000000;129490.0000000;3552
SPFB.RTS;1;20130711;112700;129490.0000000;129490.0000000;129420.0000000;129430.0000000;634
SPFB.RTS;1;20130711;112800;129440.0000000;129450.0000000;129410.0000000;129450.0000000;452
SPFB.RTS;1;20130711;112900;129450.0000000;129500.0000000;129430.0000000;129440.0000000;1392
SPFB.RTS;1;20130711;113000;129450.0000000;129450.0000000;129380.0000000;129440.0000000;2216
SPFB.RTS;1;20130711;113100;129430.0000000;129480.0000000;129430.0000000;129460.0000000;1364
SPFB.RTS;1;20130711;113200;129450.0000000;129460.0000000;129430.0000000;129460.0000000;368
SPFB.RTS;1;20130711;113300;129460.0000000;129480.0000000;129430.0000000;129450.0000000;465
SPFB.RTS;1;20130711;113400;129440.0000000;129470.0000000;129400.0000000;129430.0000000;820
SPFB.RTS;1;20130711;113500;129430.0000000;129430.0000000;129360.0000000;129370.0000000;1625
SPFB.RTS;1;20130711;113600;129370.0000000;129380.0000000;129220.0000000;129300.0000000;6578
SPFB.RTS;1;20130711;113700;129310.0000000;129310.0000000;129220.0000000;129250.0000000;2444
SPFB.RTS;1;20130711;113800;129250.0000000;129310.0000000;129220.0000000;129300.0000000;2395
SPFB.RTS;1;20130711;113900;129280.0000000;129350.0000000;129280.0000000;129330.0000000;1010
SPFB.RTS;1;20130711;114000;129330.0000000;129450.0000000;129310.0000000;129410.0000000;2958
SPFB.RTS;1;20130711;114100;129390.0000000;129420.0000000;129370.0000000;129380.0000000;922
SPFB.RTS;1;20130711;114200;129390.0000000;129470.0000000;129380.0000000;129440.0000000;1152
SPFB.RTS;1;20130711;114300;129430.0000000;129540.0000000;129430.0000000;129500.0000000;4495
SPFB.RTS;1;20130711;114400;129500.0000000;129520.0000000;129470.0000000;129510.0000000;2606
SPFB.RTS;1;20130711;114500;129510.0000000;129530.0000000;129450.0000000;129460.0000000;2376
SPFB.RTS;1;20130711;114600;129460.0000000;129570.0000000;129450.0000000;129520.0000000;1339
SPFB.RTS;1;20130711;114700;129500.0000000;129530.0000000;129460.0000000;129470.0000000;588
SPFB.RTS;1;20130711;114800;129480.0000000;129490.0000000;129430.0000000;129450.0000000;1069
SPFB.RTS;1;20130711;114900;129440.0000000;129440.0000000;129370.0000000;129410.0000000;1549
SPFB.RTS;1;20130711;115000;129400.0000000;129420.0000000;129370.0000000;129410.0000000;536
SPFB.RTS;1;20130711;115100;129400.0000000;129420.0000000;129380.0000000;129410.0000000;863
SPFB.RTS;1;20130711;115200;129410.0000000;129420.0000000;129380.0000000;129380.0000000;534
SPFB.RTS;1;20130711;115300;129390.0000000;129400.0000000;129320.0000000;129330.0000000;1325
SPFB.RTS;1;20130711;115400;129330.0000000;129360.0000000;129320.0000000;129330.0000000;484
